132.00, 170.00, 0.50
132.14, 170.22, 0.50
132.25, 170.48, 0.50
132.33, 170.76, 0.50
132.38, 171.06, 0.50
132.39, 171.38, 0.50
132.36, 171.71, 0.50
132.28, 172.05, 0.50
132.16, 172.40, 0.50
131.99, 172.73, 0.50
131.77, 173.06, 0.50
131.50, 173.38, 0.50
131.19, 173.67, 0.50
130.83, 173.93, 0.50
130.44, 174.15, 0.50
130.00, 174.34, 0.50
129.53, 174.48, 0.50
129.03, 174.56, 0.50
128.51, 174.59, 0.50
127.97, 174.56, 0.50
127.42, 174.47, 0.50
126.87, 174.31, 0.50
126.32, 174.08, 0.50
125.79, 173.79, 0.50
125.28, 173.43, 0.50
124.80, 173.00, 0.50
124.36, 172.51, 0.50
123.97, 171.96, 0.50
123.63, 171.35, 0.50
123.35, 170.70, 0.50
123.14, 170.00, 0.50
123.00, 169.26, 0.50
122.94, 168.50, 0.50
122.97, 167.72, 0.50
123.09, 166.92, 0.50
123.29, 166.13, 0.50
123.59, 165.34, 0.50
123.98, 164.58, 0.50
124.46, 163.84, 0.50
125.02, 163.15, 0.50
125.68, 162.51, 0.50
126.41, 161.93, 0.50
127.21, 161.42, 0.50
128.09, 161.00, 0.50
129.02, 160.66, 0.50
130.00, 160.43, 0.50
131.02, 160.29, 0.50
132.07, 160.27, 0.50
133.13, 160.36, 0.50
134.20, 160.56, 0.50
135.26, 160.89, 0.50
136.30, 161.33, 0.50
137.30, 161.90, 0.50
138.25, 162.57, 0.50
139.14, 163.36, 0.50
139.95, 164.26, 0.50
140.67, 165.25, 0.50
141.30, 166.33, 0.50
141.81, 167.49, 0.50
142.21, 168.72, 0.50
142.48, 170.00, 0.50
142.61, 171.32, 0.50
142.59, 172.68, 0.50
142.44, 174.04, 0.50
142.13, 175.40, 0.50
141.68, 176.74, 0.50
141.07, 178.05, 0.50
140.32, 179.30, 0.50
139.43, 180.48, 0.50
138.41, 181.57, 0.50
137.26, 182.57, 0.50
135.99, 183.45, 0.50
134.61, 184.20, 0.50
133.15, 184.81, 0.50
131.60, 185.27, 0.50
130.00, 185.56, 0.50
128.35, 185.69, 0.50
126.68, 185.64, 0.50
124.99, 185.41, 0.50
123.32, 185.00, 0.50
121.68, 184.40, 0.50
120.10, 183.63, 0.50
118.58, 182.68, 0.50
117.15, 181.57, 0.50
115.84, 180.29, 0.50
114.65, 178.86, 0.50
113.61, 177.30, 0.50
112.72, 175.61, 0.50
112.01, 173.82, 0.50
111.49, 171.95, 0.50
111.16, 170.00, 0.50
111.04, 168.01, 0.50
111.13, 165.99, 0.50
111.44, 163.97, 0.50
111.96, 161.97, 0.50
112.70, 160.01, 0.50
113.66, 158.13, 0.50
114.82, 156.33, 0.50
116.18, 154.65, 0.50
117.72, 153.10, 0.50
119.44, 151.71, 0.50
121.31, 150.49, 0.50
123.33, 149.46, 0.50
125.46, 148.65, 0.50
127.69, 148.06, 0.50
130.00, 147.70, 0.50
132.36, 147.59, 0.50
134.74, 147.72, 0.50
137.11, 148.11, 0.50
139.46, 148.76, 0.50
141.75, 149.65, 0.50
143.95, 150.80, 0.50
146.05, 152.18, 0.50
148.00, 153.79, 0.50
149.79, 155.62, 0.50
151.40, 157.64, 0.50
152.80, 159.85, 0.50
153.97, 162.21, 0.50
154.90, 164.71, 0.50
155.56, 167.31, 0.50
155.95, 170.00, 0.50
156.06, 172.74, 0.50
155.87, 175.50, 0.50
155.40, 178.25, 0.50
154.62, 180.96, 0.50
153.56, 183.60, 0.50
152.22, 186.14, 0.50
150.60, 188.55, 0.50
148.72, 190.79, 0.50
146.59, 192.84, 0.50
144.24, 194.67, 0.50
141.69, 196.26, 0.50
138.96, 197.59, 0.50
136.08, 198.63, 0.50
133.09, 199.36, 0.50
130.00, 199.79, 0.50
126.86, 199.89, 0.50
123.70, 199.65, 0.50
120.55, 199.08, 0.50
117.45, 198.18, 0.50
114.45, 196.94, 0.50
111.56, 195.38, 0.50
108.83, 193.51, 0.50
106.29, 191.35, 0.50
103.97, 188.91, 0.50
101.90, 186.22, 0.50
100.11, 183.31, 0.50
98.62, 180.19, 0.50
97.46, 176.92, 0.50
96.65, 173.51, 0.50
